Name,Birthdate,NIC
Roshan Weerasinghe,1990-08-30,722328138X
Ruwan Karunaratne,1983-10-17,072994825301
Sanduni Jayawardena,1981-09-13,202919991123
Nimali Perera,1957-07-31,796235686V
Anjana Rajapaksa,1994-11-15,553537245793
Kamal Wickramasinghe,1973-07-07,649841586076
Tharindu Abeywardena,1987-08-02,196532565600
Nimali Bandara,1983-08-02,355701437202
Pubudu Bandara,1953-10-11,366274033586
Pubudu Rajapaksa,1973-01-17,125190325204
Maleesha Silva,1965-12-12,185560090V
Dilshan Jayalath,1988-05-23,116173688799
Tharindu Wijesinghe,1984-07-14,206665303591
Ruwan Karunaratne,1946-01-18,889423114374
Maleesha Weerasinghe,1964-05-14,132224149V
